ID,maximum,official,apex,official_status,evidence,reason
R1,5,5,5,passed,"E1,E2",真实入口可加载实时 WebGL2；26 个文件条目冻结，Three.js r160 本地资源齐备。
R2,2,0,2,failed,"E2,E4",选中零件或旋转松手后，BoxHelper.box.copy 抛错，渲染持续停止；新页面复现。
R3,1,0.5,0.5,partial,"E3,E4,E5,E8",有可用启动和操作说明；连杆、凸轮接触、喷油正时、精度及稳定帧率自述多处与实测不符。
S1,4,4,4,passed,"E2,E3,E8",5 类固定壳体均有可辨认几何与合理静态位置。
S2,6,5.4,5.4,partial,"E3,E4,E8",10 类均存在且可辨；连杆、活塞销、大头瓦的装配约束失败。按每类存在/形状/位置三方面等权扣 3 个位置分。
S3,5,3.3,5,partial,"E3,E4,E8",7 类配气部件均有几何；阀集中于 x=z=0，凸轮公转、推杆端点和摇臂/阀/弹簧的连接不成立。计存在与形状 14/21，装配不计。
S4,2,2,2,passed,"E3,E4,E8",高压泵、喷油器、燃油滤清器和油管均有实体；管端按喷油器进口布置。喷油相位另计 K5。
S5,2,2,2,passed,"E3,E4,E8",机油泵、滤清器、主油道、冷却器及轴承供油支路均有实体；粒子连通缺陷另计 F2。
S6,2,2,2,passed,"E3,E4,E8",水泵、节温器、散热器、周向水套和管路齐备；水套处于缸套外围。流线问题另计 F1。
S7,2,2,2,passed,"E3,E4,E8",进排气歧管、中冷器及带同轴轴件的涡轮/压气机存在，并有接入管路。
S8,1,1,1,passed,"E2,E3,E8",螺栓、密封圈、缸垫具有可辨示意几何和拆解层次。
K1,6,6,6,passed,E3,49 角×4 缸构型覆盖 720° 周期及边界；96 个非止点方向检查和 25 对跨周期位置比较通过。阀相位错配计 K4。
K2,6,3.8,4.5,partial,E3,曲柄实际旋转、杆中心距 410 mm 恒定、活塞沿轴行程 105 mm；小头偏离活塞销最多 105 mm，孔轴与销轴垂直，真实联动不成立。四组要求各 1.5 分，获 1.5+0.75+1.5+0=3.75，按量表四舍五入。
K3,3,3,3,passed,E3,展开角至 1440°：凸轮角为曲轴角的 1/2，无数值漂移；轴心公转缺陷计 S3/K4。
K4,5,1.5,2.5,partial,"E3,E4",有升程、摇臂转动和弹簧形变；机械接触链断开，全部阀位置错误，3/4 缸阀正时与对应冲程不符。
K5,2,0.5,2,partial,"E4,E8",有空气与柴油喷流示意且未用火花点火；喷流只依赖粒子相位，固定粒子状态下曲轴 0–720° 改变不影响喷流，不能证明压缩末喷油。
K6,2,2,2,passed,"E2,E3,E4,E5",RPM/播放倍率分开；原 simulate 在 30/60/120 Hz、1100/1600/2100 rpm 的同时间相位一致。新鲜页面可见运动；选中后的冻结单列。
F1,3,2,2,partial,"E2,E3,E8",冷却粒子方向可见，主曲线闭合并穿过主要组件区域；多条水套支线与主回路的连接未构成完整流路。离散最近距只作定位证据。
F2,3,1.5,2,partial,"E2,E3,E8",有从集滤器经泵、过滤冷却向轴承的粒子支路；主输送线端点相差 184.81 mm 并循环重置，回油另为断开的曲线，未构成完整连通回路。
F3,2,2,2,passed,"E2,E4,E5,E8",两路实际粒子参数随 RPM 和独立负荷 25/50/75% 改变，一阶工况与限压/温控可核对；冻结页面的数据只证明状态更新，初始可见运动有额外记录。
F4,2,2,2,passed,"E2,E5,E8",带单位 RPM、水温、油压和图例；采用确定性示意工况模型，未将随机传感器值作证据。
I1,4,1.5,2,partial,"E2,E3,E4,E8",固定 12 类有 9 类找到正确表面卡片；活塞/排气门出现可见表面错卡，连杆未找到有效探测点（未验证）。剖视普遍拾取已裁掉的表面；58 类可拾取登记小于实际几何覆盖。
I2,2,2,2,passed,E2,登记卡片有对应中英文名称，成功命中抽样正确；拾取错卡已计 I1。
I3,2,2,2,passed,E2,卡片具针对性的材料与制造工艺说明；不将设计文字认证为真实材料。
I4,2,1,1,partial,"E2,E8",功能及多数参数有单位；凸轮/排气门卡正时 134°BBDC、188°ATDC 与实际声明 46°、8°不一致，活塞间隙文字与几何不符。
I5,2,0.5,0.5,partial,"E3,E4,E8",部分固定件工况文字能更新；活塞、阀、喷油器等 statusOf 在所有采样返回 null，缸号格式与 cylOf 正则不匹配。
V1,3,3,3,passed,"E2,E3,E5,E8",实际 Physical PBR、程序环境光、金属/粗糙/橡胶材质与阴影路径存在；不额外评价审美优劣。
V2,3,3,3,passed,"E2,E5",一键真实局部剖切与半透明，34 个材质带裁切面，内部结构/流动可观察。
V3,2,2,2,passed,E2,俯视、侧视、剖视、自由视角均改变实际相机并保留目标。
V4,2,0.5,1.5,partial,"E2,E4,E5",初始视图及控制可用；旋转结束/选中触发持续重绘失败，之后相机数值变化不能当作画面正常；双侧面板也挤占空间。
